fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,17.9,17.0,14.5,13.1,77.5,78.7,77.2,76.7,6.4,8.1,9.8,9.8,1021.0
3,17.4,16.6,14.0,12.8,83.2,82.5,80.1,80.6,5.2,7.7,12.3,12.3,1021.0
6,16.9,16.2,13.8,12.7,88.2,86.6,85.1,83.8,4.6,7.0,11.0,11.0,1020.5
9,16.6,15.9,13.6,12.6,91.5,88.9,85.7,84.0,4.3,7.3,12.4,12.4,1019.8
12,16.4,15.6,13.2,12.3,90.7,87.4,83.0,81.0,4.7,8.2,12.7,12.7,1021.4
15,16.7,15.4,13.3,12.5,89.5,89.5,82.3,79.3,4.2,6.1,12.3,12.3,1021.9
18,17.3,15.9,13.5,12.6,85.9,88.5,81.8,81.3,4.7,6.1,11.3,11.3,1019.7
21,16.9,16.0,13.4,12.7,85.8,86.3,78.5,79.8,4.4,6.7,10.2,10.2,1019.8
24,15.7,15.3,13.2,12.4,90.7,88.4,77.6,80.5,3.6,6.7,10.1,10.1,1021.0
27,14.7,14.5,13.3,12.3,93.2,89.6,73.7,75.8,2.5,5.9,8.4,8.4,1021.4
30,13.6,14.1,13.5,12.3,95.0,88.1,67.9,67.9,2.1,4.6,5.9,5.9,1020.7
33,12.6,14.0,13.3,12.0,96.7,85.5,65.9,63.7,2.2,3.1,4.3,4.3,1021.2
36,15.0,14.0,13.0,11.6,88.2,79.4,65.1,65.4,2.2,3.4,4.6,4.6,1022.3
39,19.8,17.3,13.1,11.5,60.5,63.8,75.7,72.4,2.1,2.4,3.4,3.4,1021.8
42,21.8,19.7,15.4,13.2,53.5,54.3,66.7,74.2,2.8,2.6,3.3,3.3,1019.7
