wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
3.0,2800.0,8.3,90.0,1008.9,2024-03-04 16:00:00,64,16
2.0,2600.0,8.2,91.0,1009.5,2024-03-04 17:00:00,64,17
3.0,2400.0,8.0,93.0,1009.5,2024-03-04 18:00:00,64,18
2.0,2200.0,7.9,95.0,1010.2,2024-03-04 19:00:00,64,19
2.0,2400.0,8.0,95.0,1010.5,2024-03-04 20:00:00,64,20
1.0,2400.0,8.0,95.0,1010.9,2024-03-04 21:00:00,64,21
1.0,1600.0,8.0,96.0,1011.3,2024-03-04 22:00:00,64,22
2.0,1100.0,8.0,97.0,1011.5,2024-03-04 23:00:00,64,23
3.0,500.0,7.8,98.0,1011.6,2024-03-05 00:00:00,65,0
4.0,700.0,7.7,98.0,1011.3,2024-03-05 01:00:00,65,1
4.0,700.0,7.6,98.0,1011.6,2024-03-05 02:00:00,65,2
5.0,800.0,7.5,97.0,1011.1,2024-03-05 03:00:00,65,3
5.0,600.0,7.4,98.0,1011.3,2024-03-05 04:00:00,65,4
5.0,600.0,7.2,98.0,1011.8,2024-03-05 05:00:00,65,5
4.0,600.0,7.1,98.0,1012.2,2024-03-05 06:00:00,65,6
5.0,800.0,7.1,98.0,1012.1,2024-03-05 07:00:00,65,7
5.0,800.0,7.1,98.0,1013.1,2024-03-05 08:00:00,65,8
5.0,1200.0,7.0,98.0,1013.6,2024-03-05 09:00:00,65,9
5.0,1200.0,7.1,97.0,1013.9,2024-03-05 10:00:00,65,10
5.0,1500.0,7.3,94.0,1014.1,2024-03-05 11:00:00,65,11
6.0,1800.0,7.5,94.0,1013.9,2024-03-05 12:00:00,65,12
7.0,1200.0,7.0,95.0,1013.8,2024-03-05 13:00:00,65,13
6.0,1400.0,7.2,93.0,1013.1,2024-03-05 14:00:00,65,14
7.0,1600.0,7.3,92.0,1013.0,2024-03-05 15:00:00,65,15
