wsd,pv,t,rh,slp,BJ
6.0,10000.0,16.4,70.0,1023.9,2024-10-22 16:00:00
4.0,7000.0,15.8,76.0,1024.5,2024-10-22 17:00:00
2.0,6000.0,14.6,81.0,1024.6,2024-10-22 18:00:00
2.0,6000.0,14.5,81.0,1025.3,2024-10-22 19:00:00
2.0,5000.0,13.4,86.0,1025.8,2024-10-22 20:00:00
1.0,4500.0,13.0,89.0,1026.4,2024-10-22 21:00:00
2.0,4000.0,12.4,91.0,1027.0,2024-10-22 22:00:00
3.0,3500.0,11.0,95.0,1026.9,2024-10-22 23:00:00
2.0,3500.0,11.7,89.0,1026.8,2024-10-23 00:00:00
2.0,10000.0,10.6,77.0,1022.1,2024-10-23 01:00:00
1.0,10000.0,10.4,79.0,1022.2,2024-10-23 02:00:00
2.0,10000.0,11.1,72.0,1021.9,2024-10-23 03:00:00
2.0,10000.0,9.8,78.0,1021.5,2024-10-23 04:00:00
1.0,10000.0,8.1,90.0,1021.6,2024-10-23 05:00:00
2.0,10000.0,9.1,86.0,1022.4,2024-10-23 06:00:00
2.0,10000.0,9.8,84.0,1022.4,2024-10-23 07:00:00
0.0,3500.0,10.9,97.0,1026.9,2024-10-23 08:00:00
0.0,6000.0,13.7,68.0,1027.4,2024-10-23 09:00:00
1.0,8000.0,15.1,62.0,1027.2,2024-10-23 10:00:00
4.0,10000.0,15.8,51.0,1026.5,2024-10-23 11:00:00
3.0,10000.0,16.8,46.0,1025.8,2024-10-23 12:00:00
2.0,10000.0,17.7,37.0,1024.7,2024-10-23 13:00:00
2.0,10000.0,18.4,35.0,1023.9,2024-10-23 14:00:00
2.0,10000.0,19.1,37.0,1023.3,2024-10-23 15:00:00
